icd10Code,icd10ClassKind,icd10Chapter,icd10Title,icd11Code,icd11ClassKind,icd11Chapter,icd11Title
A23.9,category,I,"Brucellosis, unspecified",1B95,category,01,Brucellosis
A24,category,I,Glanders and melioidosis,1B92,category,01,Glanders
A24,category,I,Glanders and melioidosis,1C42,category,01,Melioidosis
A24.0,category,I,Glanders,1B92,category,01,Glanders
A24.1,category,I,Acute and fulminating melioidosis,1C42,category,01,Melioidosis
A24.2,category,I,Subacute and chronic melioidosis,1C42,category,01,Melioidosis
A24.3,category,I,Other melioidosis,1C42,category,01,Melioidosis
A24.4,category,I,"Melioidosis, unspecified",1C42,category,01,Melioidosis
A25,category,I,Rat-bite fevers,1B90.Z,category,01,"Rat-bite fevers, unspecified"
A25.0,category,I,Spirillosis,1B90.0,category,01,Spirillosis
A25.1,category,I,Streptobacillosis,1B90.1,category,01,Streptobacillosis
A25.9,category,I,"Rat-bite fever, unspecified",1B90.Z,category,01,"Rat-bite fevers, unspecified"
A26,category,I,Erysipeloid,1B96,category,01,Erysipeloid
A26.0,category,I,Cutaneous erysipeloid,1B96,category,01,Erysipeloid
A26.7,category,I,Erysipelothrix sepsis,1B96/1G40,category,01,Erysipeloid / Sepsis without septic shock
A26.8,category,I,Other forms of erysipeloid,1B96,category,01,Erysipeloid
A26.9,category,I,"Erysipeloid, unspecified",1B96,category,01,Erysipeloid
A27,category,I,Leptospirosis,1B91,category,01,Leptospirosis
A27.0,category,I,Leptospirosis icterohaemorrhagica,1B91,category,01,Leptospirosis
A27.8,category,I,Other forms of leptospirosis,1B91,category,01,Leptospirosis
A27.9,category,I,"Leptospirosis, unspecified",1B91,category,01,Leptospirosis
A28,category,I,"Other zoonotic bacterial diseases, not elsewhere classified",1B9Z,category,01,Unspecified zoonotic bacterial disease
A28.0,category,I,Pasteurellosis,1B99,category,01,Pasteurellosis
A28.1,category,I,Cat-scratch disease,1B98,category,01,Cat-scratch disease
A28.2,category,I,Extraintestinal yersiniosis,1B9A,category,01,Extraintestinal yersiniosis
A28.8,category,I,"Other specified zoonotic bacterial diseases, not elsewhere classified",1B9Z,category,01,Unspecified zoonotic bacterial disease
A28.9,category,I,"Zoonotic bacterial disease, unspecified",1B9Z,category,01,Unspecified zoonotic bacterial disease
A30-A49,block,I,Other bacterial diseases,1B20.Z,category,01,"Leprosy, unspecified"
A30-A49,block,I,Other bacterial diseases,1B21.Z,category,01,Non-tuberculous mycobacterial infection of unspecified site
A30-A49,block,I,Other bacterial diseases,1C1A.Z,category,01,"Listeriosis, unspecified"
A30-A49,block,I,Other bacterial diseases,1C15,category,01,Tetanus neonatorum
A30-A49,block,I,Other bacterial diseases,1C14,category,01,Obstetrical tetanus
A30-A49,block,I,Other bacterial diseases,1C13,category,01,Tetanus
A30-A49,block,I,Other bacterial diseases,1C17.Z,category,01,"Diphtheria, unspecified"
A30-A49,block,I,Other bacterial diseases,1C12.Z,category,01,"Whooping cough, unspecified"
A30-A49,block,I,Other bacterial diseases,1B50,category,01,Scarlet fever
A30-A49,block,I,Other bacterial diseases,1C1C.Z,category,01,"Meningococcal disease, unspecified"
A30-A49,block,I,Other bacterial diseases,1G40,category,01,Sepsis without septic shock
A30-A49,block,I,Other bacterial diseases,1C10.Z,category,01,"Actinomycosis, unspecified"
A30-A49,block,I,Other bacterial diseases,1C1B.Z,category,01,"Nocardiosis, unspecified"
A30-A49,block,I,Other bacterial diseases,1C11.Z,category,01,"Bartonellosis, unspecified"
A30-A49,block,I,Other bacterial diseases,1B70.0Z,category,01,"Erysipelas, unspecified"
A30-A49,block,I,Other bacterial diseases,1B70.Z,category,01,Bacterial cellulitis or lymphangitis due to unspecified bacterium
A30-A49,block,I,Other bacterial diseases,1C4Z,category,01,Unspecified bacterial disease
A30-A49,block,I,Other bacterial diseases,1C41,category,01,Bacterial infection of unspecified site
A30,category,I,Leprosy [Hansen disease],1B20.Z,category,01,"Leprosy, unspecified"
A30.0,category,I,Indeterminate leprosy,1B20.0,category,01,Paucibacillary leprosy
A30.1,category,I,Tuberculoid leprosy,1B20.0,category,01,Paucibacillary leprosy
A30.2,category,I,Borderline tuberculoid leprosy,1B20.0,category,01,Paucibacillary leprosy
A30.3,category,I,Borderline leprosy,1B20.1,category,01,Multibacillary leprosy
A30.4,category,I,Borderline lepromatous leprosy,1B20.1,category,01,Multibacillary leprosy
A30.5,category,I,Lepromatous leprosy,1B20.1,category,01,Multibacillary leprosy
A30.8,category,I,Other forms of leprosy,1B20.Z,category,01,"Leprosy, unspecified"
A30.9,category,I,"Leprosy, unspecified",1B20.Z,category,01,"Leprosy, unspecified"
A31,category,I,Infection due to other mycobacteria,1B21.Z,category,01,Non-tuberculous mycobacterial infection of unspecified site
A31.0,category,I,Pulmonary mycobacterial infection,1B21.0,category,01,Pulmonary infection due to non-tuberculous mycobacterium
A31.1,category,I,Cutaneous mycobacterial infection,EA5Z,category,14,Cutaneous involvement by unspecified bacterial infection
A31.8,category,I,Other mycobacterial infections,1B21.Z,category,01,Non-tuberculous mycobacterial infection of unspecified site
A31.9,category,I,"Mycobacterial infection, unspecified",1B21.Z,category,01,Non-tuberculous mycobacterial infection of unspecified site
A32,category,I,Listeriosis,1C1A.Z,category,01,"Listeriosis, unspecified"
A32.0,category,I,Cutaneous listeriosis,1C1A.0,category,01,Cutaneous listeriosis
A32.1,category,I,Listerial meningitis and meningoencephalitis,1C1A.1,category,01,Listerial meningitis or meningoencephalitis
A32.7,category,I,Listerial sepsis,1C1A.Z,category,01,"Listeriosis, unspecified"
A32.8,category,I,Other forms of listeriosis,1C1A.Z,category,01,"Listeriosis, unspecified"
A32.9,category,I,"Listeriosis, unspecified",1C1A.Z,category,01,"Listeriosis, unspecified"
A33,category,I,Tetanus neonatorum,1C15,category,01,Tetanus neonatorum
A34,category,I,Obstetrical tetanus,1C14,category,01,Obstetrical tetanus
A35,category,I,Other tetanus,1C13,category,01,Tetanus
A36,category,I,Diphtheria,1C17.Z,category,01,"Diphtheria, unspecified"
A36.0,category,I,Pharyngeal diphtheria,1C17.0Z,category,01,"Pharyngeal or tonsillar diphtheria, unspecified"
A36.1,category,I,Nasopharyngeal diphtheria,1C17.1,category,01,Nasal diphtheria
A36.2,category,I,Laryngeal diphtheria,1C17.2,category,01,Laryngeal diphtheria
A36.3,category,I,Cutaneous diphtheria,1C17.3,category,01,Cutaneous diphtheria
A36.8,category,I,Other diphtheria,1C17.Y/GB52,category,01,Other specified diphtheria / Acute tubular necrosis
A36.9,category,I,"Diphtheria, unspecified",1C17.Z,category,01,"Diphtheria, unspecified"
A37,category,I,Whooping cough,1C12.Z,category,01,"Whooping cough, unspecified"
A37.0,category,I,Whooping cough due to Bordetella pertussis,1C12.0,category,01,Whooping cough due to Bordetella pertussis
A37.1,category,I,Whooping cough due to Bordetella parapertussis,1C12.1,category,01,Whooping cough due to Bordetella parapertussis
A37.8,category,I,Whooping cough due to other Bordetella species,1C12.Z,category,01,"Whooping cough, unspecified"
A37.9,category,I,"Whooping cough, unspecified",1C12.Z,category,01,"Whooping cough, unspecified"
A38,category,I,Scarlet fever,1B50,category,01,Scarlet fever
A39,category,I,Meningococcal infection,1C1C.Z,category,01,"Meningococcal disease, unspecified"
A39.0,category,I,Meningococcal meningitis,1C1C.0,category,01,Meningococcal meningitis
A39.1,category,I,Waterhouse-Friderichsen syndrome,1C1C.1,category,01,Waterhouse-Friderichsen syndrome
A39.2,category,I,Acute meningococcaemia,1C1C.20,category,01,Acute meningococcaemia
A39.3,category,I,Chronic meningococcaemia,1C1C.2Y&XT8W,category,01,Other specified meningococcaemia [Chronic]
A39.4,category,I,"Meningococcaemia, unspecified",1C1C.2Z,category,01,"Meningococcaemia, unspecified"
A39.5,category,I,Meningococcal heart disease,1C1C.Y,category,01,Other specified meningococcal disease
A39.8,category,I,Other meningococcal infections,1C1C.Z,category,01,"Meningococcal disease, unspecified"
A39.8,category,I,Other meningococcal infections,1C1C.Y,category,01,Other specified meningococcal disease
A39.9,category,I,"Meningococcal infection, unspecified",1C1C.Z,category,01,"Meningococcal disease, unspecified"
A40,category,I,Streptococcal sepsis,1G40,category,01,Sepsis without septic shock
A40.0,category,I,"Sepsis due to streptococcus, group A",1B5Z,category,01,"Staphylococcal or streptococcal diseases, unspecified"
