entityId,code,title,classKind,depthInKind,chapterNo,parentEntityId
1200236878,1B70.02,Erysipelas of lower limb,category,3,01,1651247891
900000070,1B70.0Y,Erysipelas of other specified site,category,3,01,1651247891
900000071,1B70.0Z,"Erysipelas, unspecified",category,3,01,1651247891
284578658,1B70.1,Streptococcal cellulitis of skin,category,2,01,2144774073
2033345174,1B70.2,Staphylococcal cellulitis of skin,category,2,01,2144774073
845065622,1B70.3,Ascending bacterial lymphangitis,category,2,01,2144774073
900000072,1B70.Y,Bacterial cellulitis or lymphangitis due to other specified bacterium,category,2,01,2144774073
900000073,1B70.Z,Bacterial cellulitis or lymphangitis due to unspecified bacterium,category,2,01,2144774073
522973276,1B71,Necrotising fasciitis,category,1,01,1412960686
270373865,1B71.0,Streptococcal necrotising fasciitis,category,2,01,522973276
270802913,1B71.1,Polymicrobial necrotising fasciitis,category,2,01,522973276
1681155693,1B71.2,Neonatal necrotising fasciitis,category,2,01,522973276
900000074,1B71.Y,Necrotising fasciitis due to other specified bacterial infection,category,2,01,522973276
900000075,1B71.Z,"Necrotising fasciitis, unspecified",category,2,01,522973276
971176543,1B72,Impetigo,category,1,01,1412960686
1398484288,1B72.0,Bullous impetigo,category,2,01,971176543
25824900,1B72.1,Non-bullous impetigo,category,2,01,971176543
2034126013,1B72.2,Secondary impetiginisation of the skin,category,2,01,971176543
900000076,1B72.Y,Other specified impetigo,category,2,01,971176543
900000077,1B72.Z,"Impetigo, unspecified",category,2,01,971176543
337308923,1B73,Ecthyma,category,1,01,1412960686
229362936,1B73.0,Streptococcal ecthyma,category,2,01,337308923
1677671323,1B73.1,Staphylococcal ecthyma,category,2,01,337308923
1634854510,1B73.2,Ecthyma gangrenosum,category,2,01,337308923
900000078,1B73.Y,Other specified ecthyma,category,2,01,337308923
900000079,1B73.Z,"Ecthyma, unspecified",category,2,01,337308923
1622653958,1B74,Superficial bacterial folliculitis,category,1,01,1412960686
1929235891,1B74.0,Staphylococcus aureus superficial folliculitis,category,2,01,1622653958
900000080,1B74.Y,Superficial bacterial folliculitis due to other specified organism,category,2,01,1622653958
900000081,1B74.Z,Superficial bacterial folliculitis due to unspecified organism,category,2,01,1622653958
46117627,1B75,Deep bacterial folliculitis or pyogenic abscess of the skin,category,1,01,1412960686
1081137172,1B75.0,Furuncle,category,2,01,46117627
1456834066,1B75.1,Carbuncle,category,2,01,46117627
1194531705,1B75.2,Furunculosis,category,2,01,46117627
1324834502,1B75.3,Pyogenic abscess of the skin,category,2,01,46117627
25801498,1B75.4,Chronic deep bacterial folliculitis,category,2,01,46117627
900000082,1B75.Z,"Deep bacterial folliculitis or pyogenic abscess of the skin, unspecified",category,2,01,46117627
900000083,1B7Y,Other specified pyogenic bacterial infection of skin or subcutaneous tissue,category,1,01,1412960686
900000084,1B7Z,"Pyogenic bacterial infection of skin or subcutaneous tissue, unspecified",category,1,01,1412960686
1935092859,,Certain zoonotic bacterial diseases,block,1,01,1435254666
1026551291,1B90,Rat-bite fevers,category,1,01,1935092859
1104357482,1B90.0,Spirillosis,category,2,01,1026551291
614000128,1B90.1,Streptobacillosis,category,2,01,1026551291
900000085,1B90.Y,Other specified rat-bite fevers,category,2,01,1026551291
900000086,1B90.Z,"Rat-bite fevers, unspecified",category,2,01,1026551291
751399056,1B91,Leptospirosis,category,1,01,1935092859
1563156715,1B92,Glanders,category,1,01,1935092859
1596449540,1B93,Plague,category,1,01,1935092859
1742025109,1B93.0,Bubonic plague,category,2,01,1596449540
43973633,1B93.1,Cellulocutaneous plague,category,2,01,1596449540
1983098110,1B93.2,Pneumonic plague,category,2,01,1596449540
326656364,1B93.3,Plague meningitis,category,2,01,1596449540
900000087,1B93.Y,Other specified plague,category,2,01,1596449540
900000088,1B93.Z,"Plague, unspecified",category,2,01,1596449540
980168338,1B94,Tularaemia,category,1,01,1935092859
2066610452,1B94.0,Ulceroglandular tularaemia,category,2,01,980168338
900000089,1B94.Y,Other specified tularaemia,category,2,01,980168338
900000090,1B94.Z,"Tularaemia, unspecified",category,2,01,980168338
730510331,1B95,Brucellosis,category,1,01,1935092859
1233304838,1B96,Erysipeloid,category,1,01,1935092859
1321303663,1B97,Anthrax,category,1,01,1935092859
2003001085,1B98,Cat-scratch disease,category,1,01,1935092859
304649065,1B99,Pasteurellosis,category,1,01,1935092859
63835650,1B9A,Extraintestinal yersiniosis,category,1,01,1935092859
900000091,1B9Z,Unspecified zoonotic bacterial disease,category,1,01,1935092859
487269828,,Other bacterial diseases,block,1,01,1435254666
1697630330,1C10,Actinomycosis,category,1,01,487269828
452367246,1C10.0,Pulmonary actinomycosis,category,2,01,1697630330
2143116824,1C10.1,Abdominal actinomycosis,category,2,01,1697630330
185601767,1C10.2,Cervicofacial actinomycosis,category,2,01,1697630330
413315344,1C10.3,Primary cutaneous actinomycosis,category,2,01,1697630330
900000092,1C10.Y,Other specified forms of actinomycosis,category,2,01,1697630330
900000093,1C10.Z,"Actinomycosis, unspecified",category,2,01,1697630330
1938462328,1C11,Bartonellosis,category,1,01,487269828
1917297026,1C11.0,Carrion disease,category,2,01,1938462328
1031219789,1C11.00,Oroya fever,category,3,01,1917297026
1480386521,1C11.01,Verruga peruana,category,3,01,1917297026
900000094,1C11.0Z,"Carrion disease, unspecified",category,3,01,1917297026
1587737629,1C11.1,Trench fever,category,2,01,1938462328
900000095,1C11.Y,Other forms of bartonellosis,category,2,01,1938462328
900000096,1C11.Z,"Bartonellosis, unspecified",category,2,01,1938462328
2064398473,1C12,Whooping cough,category,1,01,487269828
1287021540,1C12.0,Whooping cough due to Bordetella pertussis,category,2,01,2064398473
704491122,1C12.1,Whooping cough due to Bordetella parapertussis,category,2,01,2064398473
900000097,1C12.Y,Other specified whooping cough,category,2,01,2064398473
900000098,1C12.Z,"Whooping cough, unspecified",category,2,01,2064398473
1793762788,1C13,Tetanus,category,1,01,487269828
262236278,1C14,Obstetrical tetanus,category,1,01,487269828
2085616610,1C15,Tetanus neonatorum,category,1,01,487269828
1920227791,1C16,Gas gangrene,category,1,01,487269828
508032285,1C17,Diphtheria,category,1,01,487269828
1347332965,1C17.0,Pharyngeal or tonsillar diphtheria,category,2,01,508032285
1736804001,1C17.00,Postdiphtheritic paralysis of uvula,category,3,01,1347332965
900000099,1C17.0Y,Other specified pharyngeal or tonsillar diphtheria,category,3,01,1347332965
900000100,1C17.0Z,"Pharyngeal or tonsillar diphtheria, unspecified",category,3,01,1347332965
889546481,1C17.1,Nasal diphtheria,category,2,01,508032285
1101542926,1C17.2,Laryngeal diphtheria,category,2,01,508032285
618920860,1C17.3,Cutaneous diphtheria,category,2,01,508032285
900000101,1C17.Y,Other specified diphtheria,category,2,01,508032285
900000102,1C17.Z,"Diphtheria, unspecified",category,2,01,508032285
1966578342,1C18,Brazilian purpuric fever,category,1,01,487269828
390042715,1C19,Legionellosis,category,1,01,487269828
1670562980,1C19.0,Nonpneumonic Legionnaires' disease,category,2,01,390042715
424434722,1C19.1,Legionnaires disease,category,2,01,390042715
900000103,1C19.Z,"Legionellosis, unspecified",category,2,01,390042715
419706488,1C1A,Listeriosis,category,1,01,487269828
1789950491,1C1A.0,Cutaneous listeriosis,category,2,01,419706488
268154767,1C1A.1,Listerial meningitis or meningoencephalitis,category,2,01,419706488
900000104,1C1A.Y,Other specified listeriosis,category,2,01,419706488
900000105,1C1A.Z,"Listeriosis, unspecified",category,2,01,419706488
6555116,1C1B,Nocardiosis,category,1,01,487269828
101604109,1C1B.0,Pulmonary nocardiosis,category,2,01,6555116
1665504921,1C1B.1,Cutaneous nocardiosis,category,2,01,6555116
900000106,1C1B.Y,Other specified forms of nocardiosis,category,2,01,6555116
900000107,1C1B.Z,"Nocardiosis, unspecified",category,2,01,6555116
1664016479,1C1C,Meningococcal disease,category,1,01,487269828
516585689,1C1C.0,Meningococcal meningitis,category,2,01,1664016479
2072098125,1C1C.1,Waterhouse-Friderichsen syndrome,category,2,01,1664016479
832233624,1C1C.2,Meningococcaemia,category,2,01,1664016479
254600628,1C1C.20,Acute meningococcaemia,category,3,01,832233624
900000108,1C1C.2Y,Other specified meningococcaemia,category,3,01,832233624
900000109,1C1C.2Z,"Meningococcaemia, unspecified",category,3,01,832233624
900000110,1C1C.Y,Other specified meningococcal disease,category,2,01,1664016479
900000111,1C1C.Z,"Meningococcal disease, unspecified",category,2,01,1664016479
840525023,1C1D,Yaws,category,1,01,487269828
3933330,1C1D.0,Primary yaws,category,2,01,840525023
944473231,1C1D.1,Secondary yaws,category,2,01,840525023
406586413,1C1D.2,Tertiary yaws,category,2,01,840525023
247169608,1C1D.3,Latent yaws,category,2,01,840525023
900000112,1C1D.Z,"Yaws, unspecified",category,2,01,840525023
1465035083,1C1E,Pinta,category,1,01,487269828
482659345,1C1E.0,Primary lesions of pinta,category,2,01,1465035083
2039415173,1C1E.1,Intermediate lesions of pinta,category,2,01,1465035083
220352892,1C1E.2,Late lesions of pinta,category,2,01,1465035083
1751751918,1C1E.3,Mixed lesions of pinta,category,2,01,1465035083
900000113,1C1E.Z,"Pinta, unspecified",category,2,01,1465035083
1186214944,1C1F,Endemic non-venereal syphilis,category,1,01,487269828
1600014919,1C1G,Lyme borreliosis,category,1,01,
900000114,,,,,,
"Use additional code, if desired, to identify any sequelae. The extension code 'Cause of late effect' is used in addition to both codes to show the relationship between the causative condition and the resulting sequelae.",,,,,,
217939807,1C1G.0,Early cutaneous Lyme borreliosis,category,2,01,1600014919
120524401,1C1G.1,Disseminated Lyme borreliosis,category,2,01,1600014919
1614775629,1C1G.10,Lyme neuroborreliosis,category,3,01,120524401
2085372866,1C1G.11,Lyme carditis,category,3,01,120524401
59307016,1C1G.12,Ophthalmic Lyme borreliosis,category,3,01,120524401
1772714648,1C1G.13,Lyme arthritis,category,3,01,120524401
242606511,1C1G.14,Late cutaneous Lyme borreliosis,category,3,01,120524401
900000115,1C1G.1Y,Other specified disseminated Lyme borreliosis,category,3,01,120524401
900000116,1C1G.1Z,"Disseminated Lyme borreliosis, unspecified",category,3,01,120524401
900000117,1C1G.Y,Other specified Lyme borreliosis,category,2,01,1600014919
900000118,1C1G.Z,"Lyme borreliosis, unspecified",category,2,01,1600014919
1320736556,1C1H,Necrotising ulcerative gingivitis,category,1,01,487269828
737352378,1C1H.0,Other Vincent infections,category,2,01,1320736556
900000119,1C1H.Y,Other specified necrotising ulcerative gingivitis,category,2,01,1320736556
