icd10_code,icd10_desc,icdo4_code,icdo4_desc
C34.02,Malignant neoplasm of left main bronchus,80460/3,Non-small cell carcinoma
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",80460/3,Non-small cell carcinoma
C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",80460/3,Non-small cell carcinoma
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",80460/3,Non-small cell carcinoma
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",80460/3,Non-small cell carcinoma
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",80460/3,Non-small cell carcinoma
C34.3,"Malignant neoplasm of lower lobe, bronchus or lung",80460/3,Non-small cell carcinoma
C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",80460/3,Non-small cell carcinoma
C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",80460/3,Non-small cell carcinoma
C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",80460/3,Non-small cell carcinoma
C34.8,Malignant neoplasm of overlapping sites of bronchus and lung,80460/3,Non-small cell carcinoma
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,80460/3,Non-small cell carcinoma
C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,80460/3,Non-small cell carcinoma
C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,80460/3,Non-small cell carcinoma
C34.9,Malignant neoplasm of unspecified part of bronchus or lung,80460/3,Non-small cell carcinoma
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,80460/3,Non-small cell carcinoma
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,80460/3,Non-small cell carcinoma
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,80460/3,Non-small cell carcinoma
C51.0,Malignant neoplasm of labium majus,80520/0,Vestibular micropapillomatosis
C51.1,Malignant neoplasm of labium minus,80520/0,Vestibular micropapillomatosis
C51.2,Malignant neoplasm of clitoris,80520/0,Vestibular micropapillomatosis
C51.8,Malignant neoplasm of overlapping sites of vulva,80520/0,Vestibular micropapillomatosis
C51.9,"Malignant neoplasm of vulva, unspecified",80520/0,Vestibular micropapillomatosis
C32.0,Malignant neoplasm of glottis,80520/0,Laryngeal papillomatosis
C32.1,Malignant neoplasm of supraglottis,80520/0,Laryngeal papillomatosis
C32.2,Malignant neoplasm of subglottis,80520/0,Laryngeal papillomatosis
C32.3,Malignant neoplasm of laryngeal cartilage,80520/0,Laryngeal papillomatosis
C32.8,Malignant neoplasm of overlapping sites of larynx,80520/0,Laryngeal papillomatosis
C32.9,"Malignant neoplasm of larynx, unspecified",80520/0,Laryngeal papillomatosis
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",8052B/0,Onychopapilloma
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",8052B/0,Onychopapilloma
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",8052C/0,Ungual fibrokeratoma
