icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",80700/2,Bowen disease
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",80700/2,Bowen disease
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",80700/2,Bowen disease
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",80700/2,Bowen disease
C44.11,"Basal cell carcinoma of skin of eyelid, including canthus",80700/2,Bowen disease
C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",80700/2,Bowen disease
C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus",80700/2,Bowen disease
C44.1121,"Basal cell carcinoma of skin of right upper eyelid, including canthus",80700/2,Bowen disease
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus",80700/2,Bowen disease
C44.119,"Basal cell carcinoma of skin of left eyelid, including canthus",80700/2,Bowen disease
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus",80700/2,Bowen disease
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus",80700/2,Bowen disease
C44.12,"Squamous cell carcinoma of skin of eyelid, including canthus",80700/2,Bowen disease
C44.121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",80700/2,Bowen disease
C44.122,"Squamous cell carcinoma of skin of right eyelid, including canthus",80700/2,Bowen disease
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",80700/2,Bowen disease
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",80700/2,Bowen disease
C44.129,"Squamous cell carcinoma of skin of left eyelid, including canthus",80700/2,Bowen disease
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",80700/2,Bowen disease
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",80700/2,Bowen disease
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",80700/2,Bowen disease
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",80700/2,Bowen disease
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",80700/2,Bowen disease
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",80700/2,Bowen disease
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",80700/2,Bowen disease
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",80700/2,Bowen disease
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",80700/2,Bowen disease
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",80700/2,Bowen disease
C44.19,"Other specified malignant neoplasm of skin of eyelid, including canthus",80700/2,Bowen disease
C44.191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",80700/2,Bowen disease
C44.192,"Other specified malignant neoplasm of skin of right eyelid, including canthus",80700/2,Bowen disease
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus",80700/2,Bowen disease
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus",80700/2,Bowen disease
C44.199,"Other specified malignant neoplasm of skin of left eyelid, including canthus",80700/2,Bowen disease
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",80700/2,Bowen disease
C44.1992,"Other specified malignant neoplasm of skin of left lower eyelid, including canthus",80700/2,Bowen disease
C44.2,Other and unspecified malignant neoplasm of skin of ear and external auricular canal,80700/2,Bowen disease
C44.20,Unspecified malignant neoplasm of skin of ear and external auricular canal,80700/2,Bowen disease
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,80700/2,Bowen disease
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,80700/2,Bowen disease
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,80700/2,Bowen disease
C44.21,Basal cell carcinoma of skin of ear and external auricular canal,80700/2,Bowen disease
C44.211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,80700/2,Bowen disease
C44.212,Basal cell carcinoma of skin of right ear and external auricular canal,80700/2,Bowen disease
C44.219,Basal cell carcinoma of skin of left ear and external auricular canal,80700/2,Bowen disease
C44.22,Squamous cell carcinoma of skin of ear and external auricular canal,80700/2,Bowen disease
C44.221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,80700/2,Bowen disease
C44.222,Squamous cell carcinoma of skin of right ear and external auricular canal,80700/2,Bowen disease
C44.229,Squamous cell carcinoma of skin of left ear and external auricular canal,80700/2,Bowen disease
C44.29,Other specified malignant neoplasm of skin of ear and external auricular canal,80700/2,Bowen disease
C44.291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,80700/2,Bowen disease
C44.292,Other specified malignant neoplasm of skin of right ear and external auricular canal,80700/2,Bowen disease
C44.299,Other specified malignant neoplasm of skin of left ear and external auricular canal,80700/2,Bowen disease
C44.3,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,80700/2,Bowen disease
C44.30,Unspecified malignant neoplasm of skin of other and unspecified parts of face,80700/2,Bowen disease
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face,80700/2,Bowen disease
C44.301,Unspecified malignant neoplasm of skin of nose,80700/2,Bowen disease
C44.309,Unspecified malignant neoplasm of skin of other parts of face,80700/2,Bowen disease
C44.31,Basal cell carcinoma of skin of other and unspecified parts of face,80700/2,Bowen disease
C44.310,Basal cell carcinoma of skin of unspecified parts of face,80700/2,Bowen disease
C44.311,Basal cell carcinoma of skin of nose,80700/2,Bowen disease
C44.319,Basal cell carcinoma of skin of other parts of face,80700/2,Bowen disease
C44.32,Squamous cell carcinoma of skin of other and unspecified parts of face,80700/2,Bowen disease
C44.320,Squamous cell carcinoma of skin of unspecified parts of face,80700/2,Bowen disease
C44.321,Squamous cell carcinoma of skin of nose,80700/2,Bowen disease
C44.329,Squamous cell carcinoma of skin of other parts of face,80700/2,Bowen disease
C44.39,Other specified malignant neoplasm of skin of other and unspecified parts of face,80700/2,Bowen disease
C44.390,Other specified malignant neoplasm of skin of unspecified parts of face,80700/2,Bowen disease
C44.391,Other specified malignant neoplasm of skin of nose,80700/2,Bowen disease
C44.399,Other specified malignant neoplasm of skin of other parts of face,80700/2,Bowen disease
C44.4,Other and unspecified malignant neoplasm of skin of scalp and neck,80700/2,Bowen disease
C44.40,Unspecified malignant neoplasm of skin of scalp and neck,80700/2,Bowen disease
C44.41,Basal cell carcinoma of skin of scalp and neck,80700/2,Bowen disease
C44.42,Squamous cell carcinoma of skin of scalp and neck,80700/2,Bowen disease
C44.49,Other specified malignant neoplasm of skin of scalp and neck,80700/2,Bowen disease
C44.5,Other and unspecified malignant neoplasm of skin of trunk,80700/2,Bowen disease
C44.50,Unspecified malignant neoplasm of skin of trunk,80700/2,Bowen disease
C44.500,Unspecified malignant neoplasm of anal skin,80700/2,Bowen disease
C44.501,Unspecified malignant neoplasm of skin of breast,80700/2,Bowen disease
C44.509,Unspecified malignant neoplasm of skin of other part of trunk,80700/2,Bowen disease
C44.51,Basal cell carcinoma of skin of trunk,80700/2,Bowen disease
C44.510,Basal cell carcinoma of anal skin,80700/2,Bowen disease
C44.511,Basal cell carcinoma of skin of breast,80700/2,Bowen disease
C44.519,Basal cell carcinoma of skin of other part of trunk,80700/2,Bowen disease
C44.52,Squamous cell carcinoma of skin of trunk,80700/2,Bowen disease
C44.520,Squamous cell carcinoma of anal skin,80700/2,Bowen disease
C44.521,Squamous cell carcinoma of skin of breast,80700/2,Bowen disease
C44.529,Squamous cell carcinoma of skin of other part of trunk,80700/2,Bowen disease
C44.59,Other specified malignant neoplasm of skin of trunk,80700/2,Bowen disease
C44.590,Other specified malignant neoplasm of anal skin,80700/2,Bowen disease
C44.591,Other specified malignant neoplasm of skin of breast,80700/2,Bowen disease
C44.599,Other specified malignant neoplasm of skin of other part of trunk,80700/2,Bowen disease
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",80700/2,Bowen disease
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",80700/2,Bowen disease
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",80700/2,Bowen disease
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",80700/2,Bowen disease
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",80700/2,Bowen disease
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",80700/2,Bowen disease
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",80700/2,Bowen disease
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",80700/2,Bowen disease
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",80700/2,Bowen disease
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",80700/2,Bowen disease
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",80700/2,Bowen disease
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",80700/2,Bowen disease
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",80700/2,Bowen disease
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",80700/2,Bowen disease
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",80700/2,Bowen disease
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",80700/2,Bowen disease
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",80700/2,Bowen disease
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",80700/2,Bowen disease
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",80700/2,Bowen disease
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",80700/2,Bowen disease
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",80700/2,Bowen disease
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",80700/2,Bowen disease
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",80700/2,Bowen disease
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",80700/2,Bowen disease
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",80700/2,Bowen disease
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",80700/2,Bowen disease
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",80700/2,Bowen disease
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",80700/2,Bowen disease
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",80700/2,Bowen disease
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",80700/2,Bowen disease
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",80700/2,Bowen disease
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",80700/2,Bowen disease
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",80700/2,Bowen disease
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",80700/2,Bowen disease
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,80700/2,Bowen disease
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,80700/2,Bowen disease
C44.81,Basal cell carcinoma of overlapping sites of skin,80700/2,Bowen disease
C44.82,Squamous cell carcinoma of overlapping sites of skin,80700/2,Bowen disease
C44.89,Other specified malignant neoplasm of overlapping sites of skin,80700/2,Bowen disease
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",80700/2,Bowen disease
C44.90,"Unspecified malignant neoplasm of skin, unspecified",80700/2,Bowen disease
C44.91,"Basal cell carcinoma of skin, unspecified",80700/2,Bowen disease
C44.92,"Squamous cell carcinoma of skin, unspecified",80700/2,Bowen disease
C44.99,"Other specified malignant neoplasm of skin, unspecified",80700/2,Bowen disease
C11.0,Malignant neoplasm of superior wall of nasopharynx,80708/3,Nasopharyngeal carcinoma
C11.1,Malignant neoplasm of posterior wall of nasopharynx,80708/3,Nasopharyngeal carcinoma
C11.2,Malignant neoplasm of lateral wall of nasopharynx,80708/3,Nasopharyngeal carcinoma
C11.3,Malignant neoplasm of anterior wall of nasopharynx,80708/3,Nasopharyngeal carcinoma
C11.8,Malignant neoplasm of overlapping sites of nasopharynx,80708/3,Nasopharyngeal carcinoma
C11.9,"Malignant neoplasm of nasopharynx, unspecified",80708/3,Nasopharyngeal carcinoma
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",80711/1,"Keratoacanthoma, subungual"
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",80711/1,"Keratoacanthoma, subungual"
C60.0,Malignant neoplasm of prepuce,80710/2,Differentiated penile intraepithelial neoplasia (PeIN)
C60.1,Malignant neoplasm of glans penis,80710/2,Differentiated penile intraepithelial neoplasia (PeIN)
C60.2,Malignant neoplasm of body of penis,80710/2,Differentiated penile intraepithelial neoplasia (PeIN)
C60.8,Malignant neoplasm of overlapping sites of penis,80710/2,Differentiated penile intraepithelial neoplasia (PeIN)
C60.9,"Malignant neoplasm of penis, unspecified",80710/2,Differentiated penile intraepithelial neoplasia (PeIN)
C51.0,Malignant neoplasm of labium majus,80710/2,Differentiated vulvar intraepithelial neoplasia (VIN)
C51.1,Malignant neoplasm of labium minus,80710/2,Differentiated vulvar intraepithelial neoplasia (VIN)
C51.2,Malignant neoplasm of clitoris,80710/2,Differentiated vulvar intraepithelial neoplasia (VIN)
C51.8,Malignant neoplasm of overlapping sites of vulva,80710/2,Differentiated vulvar intraepithelial neoplasia (VIN)
C51.9,"Malignant neoplasm of vulva, unspecified",80710/2,Differentiated vulvar intraepithelial neoplasia (VIN)
C30.0,Malignant neoplasm of nasal cavity,80720/3,"Transitional cell carcinoma of head and neck, NOS"
C31.0,Malignant neoplasm of maxillary sinus,80720/3,"Transitional cell carcinoma of head and neck, NOS"
C31.1,Malignant neoplasm of ethmoidal sinus,80720/3,"Transitional cell carcinoma of head and neck, NOS"
C31.2,Malignant neoplasm of frontal sinus,80720/3,"Transitional cell carcinoma of head and neck, NOS"
C31.3,Malignant neoplasm of sphenoid sinus,80720/3,"Transitional cell carcinoma of head and neck, NOS"
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,80720/3,"Transitional cell carcinoma of head and neck, NOS"
C31.9,"Malignant neoplasm of accessory sinus, unspecified",80720/3,"Transitional cell carcinoma of head and neck, NOS"
C15.3,Malignant neoplasm of upper third of esophagus,80770/0,"Oesophageal squamous dysplasia, low-grade"
C15.4,Malignant neoplasm of middle third of esophagus,80770/0,"Oesophageal squamous dysplasia, low-grade"
C15.5,Malignant neoplasm of lower third of esophagus,80770/0,"Oesophageal squamous dysplasia, low-grade"
C15.8,Malignant neoplasm of overlapping sites of esophagus,80770/0,"Oesophageal squamous dysplasia, low-grade"
C15.9,"Malignant neoplasm of esophagus, unspecified",80770/0,"Oesophageal squamous dysplasia, low-grade"
C21.1,Malignant neoplasm of anal canal,80770/0,"Anal intraepithelial neoplasia, low-grade"
C53.0,Malignant neoplasm of endocervix,80770/0,"Cervical intraepithelial neoplasia, low-grade"
C53.1,Malignant neoplasm of exocervix,80770/0,"Cervical intraepithelial neoplasia, low-grade"
C53.8,Malignant neoplasm of overlapping sites of cervix uteri,80770/0,"Cervical intraepithelial neoplasia, low-grade"
C53.9,"Malignant neoplasm of cervix uteri, unspecified",80770/0,"Cervical intraepithelial neoplasia, low-grade"
